City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,sur,22.5667,59.5289,31.57,56,54,2.35,OM,1692926311
117,helena valley southeast,46.6153,-111.9216,26.63,34,0,3.58,US,1692926312
118,shingu,33.7333,135.9833,28.46,73,9,2.07,JP,1692926313
119,pathein,16.7833,94.7333,25.47,91,93,3.25,MM,1692926313
120,novyy urgal,51.0736,132.5642,19.54,72,100,0.87,RU,1692926314
121,port augusta,-32.5,137.7667,21.29,25,58,5.2,AU,1692926315
122,tual,-5.6667,132.75,25.63,86,59,8.52,ID,1692926315
123,aswan,24.0934,32.907,33.61,16,0,3.6,EG,1692926318
124,saddiqabad,28.3062,70.1307,26.78,73,87,4.85,PK,1692926319
125,tamanrasset,22.785,5.5228,26.95,17,20,1.54,DZ,1692926319
126,tolanaro,-25.0319,46.9987,19.15,95,31,3.86,MG,1692926320
127,klyuchi,52.2667,79.1667,19.34,73,100,0.32,RU,1692926321
128,kruisfontein,-34.0033,24.7314,12.04,54,0,4.3,ZA,1692926321
129,georgetown,5.4112,100.3354,27.96,82,20,2.06,MY,1692926286
130,lluta,-16.0147,-72.0142,10.71,39,11,0.47,PE,1692926323
131,ishigaki,24.3448,124.1572,31.07,79,40,3.6,JP,1692926323
132,olyokminsk,60.3736,120.4264,16.72,42,7,1.02,RU,1692926324
133,taiping,4.85,100.7333,29.16,88,8,0.73,MY,1692926325
134,alexandria,31.2156,29.9553,26.9,74,0,3.66,EG,1692926094
135,jamestown,42.097,-79.2353,24.77,86,100,5.14,US,1692926278
136,fernley,39.608,-119.2518,29.76,17,63,1.79,US,1692926327
137,kunming,25.0389,102.7183,16.96,100,100,2.0,CN,1692926327
138,drahichyn,52.1874,25.1597,15.55,74,91,0.49,BY,1692926328
139,tazovsky,67.4667,78.7,6.67,88,6,5.43,RU,1692926329
140,coquimbo,-29.9533,-71.3436,13.85,76,0,0.51,CL,1692926045
141,laguna,38.421,-121.4238,36.41,42,0,8.23,US,1692926330
142,saipan,15.1355,145.701,30.39,100,75,3.09,MP,1692926331
143,mount pearl,47.5166,-52.7813,14.62,95,100,2.06,CA,1692926332
144,sao joaquim,-28.2939,-49.9317,7.24,97,100,1.7,BR,1692926333
145,wailua homesteads,22.0669,-159.378,30.44,72,40,6.69,US,1692926334
146,ritchie,-29.038,24.6028,14.86,18,100,4.09,ZA,1692926334
147,grand falls-windsor,48.9332,-55.6649,14.17,89,14,2.87,CA,1692926335
148,invercargill,-46.4,168.35,13.34,80,44,1.34,NZ,1692926335
149,galliano,29.4422,-90.2992,32.0,79,0,1.54,US,1692926103
150,montmagny,48.9734,2.3469,21.36,92,0,1.54,FR,1692926337
151,la ronge,55.1001,-105.2842,16.14,77,100,3.09,CA,1692926338
152,buala,-8.145,159.5921,27.59,80,80,6.78,SB,1692926338
153,lebu,-37.6167,-73.65,7.18,82,16,2.54,CL,1692926339
154,urengoy,65.9667,78.3667,7.11,85,14,3.98,RU,1692926340
155,arraial do cabo,-22.9661,-42.0278,23.91,74,100,4.96,BR,1692926340
156,sao jose da coroa grande,-8.8978,-35.1478,24.24,81,10,3.69,BR,1692926341
157,ebolowa,2.9,11.15,21.13,97,100,1.13,CM,1692926342
158,holualoa,19.6228,-155.9522,25.91,80,75,4.63,US,1692926342
159,cole harbour,44.6724,-63.4751,17.71,82,0,0.0,CA,1692926343
160,plymouth,41.8334,-70.8328,19.84,74,100,0.0,US,1692926344
161,nacala,-14.5428,40.6728,20.41,92,32,1.6,MZ,1692926345
162,guerrero negro,27.9769,-114.0611,21.88,76,13,8.32,MX,1692926345
163,olonkinbyen,70.9221,-8.7187,5.62,83,1,3.68,SJ,1692926347
164,songyuan,45.1171,124.8568,20.56,70,51,3.63,CN,1692926348
165,tura,25.5198,90.2201,23.54,98,100,1.83,IN,1692926349
166,ilulissat,69.2167,-51.1,6.01,93,100,0.51,GL,1692926349
167,ola,59.5833,151.2833,12.86,80,100,3.78,RU,1692926350
168,chul'man,56.8479,124.9104,12.52,48,6,1.65,RU,1692926351
169,mount isa,-20.7333,139.5,26.87,21,0,5.66,AU,1692926351
170,east london,-33.0153,27.9116,16.53,69,100,5.33,ZA,1692926352
171,sinabang,2.4803,96.3801,26.77,80,73,0.13,ID,1692926305
172,mamboma,8.0833,-11.6833,23.02,99,100,0.23,SL,1692926354
173,lihue,21.9789,-159.3672,30.77,64,40,6.69,US,1692926301
174,arteche,12.2645,125.4048,28.66,75,100,2.56,PH,1692926355
175,aykhal,66.0,111.5,18.42,60,55,7.59,RU,1692926356
176,hood river,45.7054,-121.5215,31.57,28,0,4.92,US,1692926356
177,nizhnyaya omka,55.4338,74.9426,10.3,81,6,2.49,RU,1692926357
178,hamamatsu,34.7,137.7333,32.23,65,12,0.45,JP,1692926314
179,anadyr,64.75,177.4833,13.28,38,0,5.0,RU,1692926358
180,rongelap,11.1635,166.8941,28.39,75,92,5.23,MH,1692926359
181,taltal,-25.4,-70.4833,16.42,78,0,2.93,CL,1692926360
182,terbanggi besar,-4.8667,105.2333,26.5,78,9,3.1,ID,1692926360
183,punta arenas,-53.15,-70.9167,-1.36,67,9,8.31,CL,1692926361
184,thunder bay,48.4001,-89.3168,20.99,83,39,2.57,CA,1692926362
185,bhum,18.4667,75.6667,22.95,81,94,3.44,IN,1692926363
186,wuhai,39.6647,106.8122,21.96,39,100,2.75,CN,1692926364
187,gilgit,35.9221,74.3087,20.71,78,100,0.94,PK,1692926365
188,shibetsu,43.659,145.132,29.39,84,75,1.54,JP,1692926366
189,kuta,-8.7233,115.1723,26.97,78,40,7.2,ID,1692926366
190,lamu,-2.2717,40.902,24.12,84,5,5.57,KE,1692926367
191,achit,56.7985,57.8994,7.5,78,100,2.29,RU,1692926368
192,dame-marie,18.5667,-74.4167,27.66,81,100,2.64,HT,1692926368
193,da nang,16.0678,108.2208,31.99,58,20,1.03,VN,1692926369
194,geraldton,-28.7667,114.6,15.23,72,100,2.57,AU,1692926370
195,maloye ganyushkino,46.6,49.2667,20.03,46,2,3.61,KZ,1692926371
196,port lincoln,-34.7333,135.8667,17.1,58,69,1.98,AU,1692926371
197,al jawf,29.5,38.75,28.09,23,1,5.42,SA,1692926372
198,hawaiian paradise park,19.5933,-154.9731,27.73,74,75,5.66,US,1692926373
199,nantucket,41.2835,-70.0995,20.01,66,100,5.66,US,1692926200
200,ribeira grande,38.5167,-28.7,21.54,85,56,5.81,PT,1692926374
201,dudinka,69.4058,86.1778,15.9,96,100,5.21,RU,1692926375
202,chui,-33.6971,-53.4616,7.92,79,84,2.49,UY,1692926144
203,katsuura,35.1333,140.3,28.88,74,1,3.18,JP,1692926376
204,bratsk,56.1325,101.6142,17.27,70,1,1.86,RU,1692926377
205,yasnyy,51.0333,59.8742,13.57,53,86,1.3,RU,1692926378
206,hinton,53.4001,-117.5857,11.5,89,100,0.97,CA,1692926378
207,ust'-ordynskiy,52.805,104.7508,17.17,65,4,3.28,RU,1692926379
208,slawharad,53.4446,31.0014,12.45,94,81,1.48,BY,1692926380
209,shizuishan,39.2333,106.7694,21.55,46,100,2.14,CN,1692926382
210,ilebo,-4.3167,20.5833,24.12,78,93,0.87,CD,1692926382
211,fuling,29.7022,107.3919,24.52,91,100,0.51,CN,1692926383
